model,lang_pair,en_only_acc,cm_acc,degradation_ratio,phylo_distance,wals_distance,family
GPT-4o,ta-en,85.6,70.77,0.17324766355140186,2,0.72,Dravidian
GPT-4o,nl-en,85.6,85.37,0.002686915887850348,0,0.25,Germanic
GPT-4o,de-en,85.6,84.6,0.011682242990654207,0,0.28,Germanic
LLaMA2-7B,zh-en,38.0,30.8,0.1894736842105263,2,0.62,Sino-Tibetan
LLaMA2-7B,hi-en,38.0,29.0,0.23684210526315788,1,0.55,Indo-Aryan
LLaMA2-7B,bn-en,38.0,25.49,0.3292105263157895,1,0.57,Indo-Aryan
LLaMA2-7B,mr-en,38.0,29.05,0.23552631578947367,1,0.59,Indo-Aryan
LLaMA2-7B,ne-en,38.0,25.91,0.3181578947368421,1,0.56,Indo-Aryan
LLaMA2-7B,es-en,38.0,32.37,0.14815789473684218,1,0.39,Romance
LLaMA2-7B,fr-en,38.0,34.78,0.08473684210526312,1,0.38,Romance
LLaMA2-7B,ar-en,38.0,25.71,0.32342105263157894,2,0.67,Afro-Asiatic
LLaMA2-7B,ta-en,38.0,26.65,0.29868421052631583,2,0.72,Dravidian
LLaMA2-7B,nl-en,38.0,32.6,0.1421052631578947,0,0.25,Germanic
LLaMA2-7B,de-en,38.0,34.32,0.09684210526315788,0,0.28,Germanic
LLaMA3-70B,zh-en,77.2,73.79,0.044170984455958504,2,0.62,Sino-Tibetan
LLaMA3-70B,hi-en,77.2,74.61,0.033549222797927505,1,0.55,Indo-Aryan
LLaMA3-70B,bn-en,77.2,69.75,0.09650259067357517,1,0.57,Indo-Aryan
LLaMA3-70B,mr-en,77.2,67.29,0.12836787564766836,1,0.59,Indo-Aryan
LLaMA3-70B,ne-en,77.2,66.52,0.1383419689119172,1,0.56,Indo-Aryan
LLaMA3-70B,es-en,77.2,79.67,-0.03199481865284973,1,0.39,Romance
LLaMA3-70B,fr-en,77.2,78.5,-0.01683937823834193,1,0.38,Romance
LLaMA3-70B,ar-en,77.2,71.86,0.0691709844559586,2,0.67,Afro-Asiatic
LLaMA3-70B,ta-en,77.2,62.18,0.19455958549222802,2,0.72,Dravidian
LLaMA3-70B,nl-en,77.2,79.3,-0.02720207253886003,0,0.25,Germanic
LLaMA3-70B,de-en,77.2,77.18,0.0002590673575129018,0,0.28,Germanic
Mixtral-8x22B,zh-en,75.5,66.64,0.11735099337748343,2,0.62,Sino-Tibetan
Mixtral-8x22B,hi-en,75.5,59.67,0.2096688741721854,1,0.55,Indo-Aryan
Mixtral-8x22B,bn-en,75.5,55.03,0.2711258278145695,1,0.57,Indo-Aryan
Mixtral-8x22B,mr-en,75.5,55.39,0.2663576158940397,1,0.59,Indo-Aryan
Mixtral-8x22B,ne-en,75.5,55.13,0.26980132450331124,1,0.56,Indo-Aryan
Mixtral-8x22B,es-en,75.5,74.17,0.017615894039735076,1,0.39,Romance
Mixtral-8x22B,fr-en,75.5,73.98,0.020132450331125776,1,0.38,Romance
Mixtral-8x22B,ar-en,75.5,59.83,0.2075496688741722,2,0.67,Afro-Asiatic
Mixtral-8x22B,ta-en,75.5,52.34,0.30675496688741716,2,0.72,Dravidian
Mixtral-8x22B,nl-en,75.5,71.98,0.046622516556291335,0,0.25,Germanic
Mixtral-8x22B,de-en,75.5,72.54,0.03920529801324495,0,0.28,Germanic
